"authorFollowersCount","authorFullName","authorProfileId","authorProfileUrl","authorType","commentsCount","image","isRepost","likesCount","postedAtISO","postedAtTimestamp","text","timeSincePosted","title","url","urn"
"589K","AU SMALL FINANCE BANK","aubank","https://www.linkedin.com/company/aubank/","Company","14",,"false","124","2023-05-12T07:13:24.815Z","1683875604815","Don't fall for the #FakeJobScam trap! Remember, easy money can make you lose money! Stay vigilant and don't let these scammers fool you.

 #BeSafe #StayAlert #AUSmallFinanceBank #scamalert #staysafe","10mo","Fake Job Alert","https://www.linkedin.com/feed/update/urn:li:activity:7062686184778416129?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7062686184778416129%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29","urn:li:activity:7062686184778416129"
"290K","Jana Small Finance Bank","jana-small-financebank","https://www.linkedin.com/company/jana-small-financebank/","Company","17","https://media.licdn.com/dms/image/D4D05AQEqOzQ2VtEVSQ/videocover-high/0/1684322366375?e=1710093600&v=beta&t=t1GLSVJsEeLivxEtvDgRgbemKknLkRCVeo5Lp1WWI7c","false","198","2023-05-18T02:30:01.185Z","1684377001185","Drive away your financial worries with “Two Wheeler Loans” from Jana Small Finance Bank that can be paid in easy-equated installments.

To know more, visit https://lnkd.in/dSrfjvv9

#JanaBank #JanaSFB #Banking #BikeLoans #TwoWheelerLoans #EasyLoans ","10mo",,"https://www.linkedin.com/feed/update/urn:li:activity:7064789193578717184?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7064789193578717184%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29","urn:li:activity:7064789193578717184"
"56K","India Post Payments Bank","india-post-paymentsbank","https://www.linkedin.com/company/india-post-paymentsbank/","Company","2","https://media.licdn.com/dms/image/D4D22AQFjg5Dxws-dXA/feedshare-shrink_2048_1536/0/1685463519396?e=1712188800&v=beta&t=1TABGTTx6yKqhpL5or95-CLtxMMTGnOFePxuja-4qtY","false","40","2023-05-30T16:18:40.263Z","1685463520263","It's time for an unbeatable innings of convenience with our India Post Payments Bank doorstep service. Just sit back at  home, sip your tea and watch us cross boundaries to deliver excellence right at your doorstep.

#Aapkabankaapkedwaar #Bankingatlastmile","9mo",,"https://www.linkedin.com/feed/update/urn:li:activity:7069346384893624320?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7069346384893624320%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29","urn:li:activity:7069346384893624320"
"290K","Jana Small Finance Bank","jana-small-financebank","https://www.linkedin.com/company/jana-small-financebank/","Company","5","https://media.licdn.com/dms/image/D4D05AQG1lJNv6ghHNA/videocover-high/0/1685774304338?e=1710093600&v=beta&t=vbQOz4B-jcGs-J8iqL45n5K1wpQl5qR_BvK7SO7kSrc","false","190","2023-06-03T06:38:25.410Z","1685774305410","Keep your JOSH high as Jana Small Finance Bank has increased its Fixed Deposit interest rates so that you get higher returns on your deposits. Invest today and watch your savings grow!

Call on 1800 2080 or visit us at janabank.com/deposits

#JanaSFB #JanaSmallFinanceBank #FixedDeposits #InterestRate #HigherReturns #Investments #EasyBanking #FinancialGoals","9mo",,"https://www.linkedin.com/feed/update/urn:li:activity:7070649912278814720?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7070649912278814720%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29","urn:li:activity:7070649912278814720"
"56K","India Post Payments Bank","india-post-paymentsbank","https://www.linkedin.com/company/india-post-paymentsbank/","Company","2","https://media.licdn.com/dms/image/D4D22AQECQfhAbmv4LQ/feedshare-shrink_2048_1536/0/1683880901310?e=1712188800&v=beta&t=WEbCnICKqJoDbozwq1U_YZI1nsUNMJivxSmGvSNN92U","false","13","2023-05-12T08:41:42.147Z","1683880902147","An alert customer is a smart customer. Fake calls in the name of India Post Payments Bank are a scam. Do not click on unknown links or share personal banking details with anyone. Stay safe and bank safe.  

#Aapkabankaapkedwaar #Bankingatlastmile  ","10mo",,"https://www.linkedin.com/feed/update/urn:li:activity:7062708403399270400?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7062708403399270400%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29","urn:li:activity:7062708403399270400"
"589K","AU SMALL FINANCE BANK","aubank","https://www.linkedin.com/company/aubank/","Company","5",,"false","209","2023-05-20T04:41:49.035Z","1684557709035","With ONDC, AU Small Finance Bank is pleased to make India a more nurturing marketplace for small businesses, one step at a time. 


#AUSmallFinanceBank #BadlaavHumseHai #ONDC","10mo","ONDC","https://www.linkedin.com/feed/update/urn:li:activity:7065547137236803584?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7065547137236803584%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29","urn:li:activity:7065547137236803584"
"105K","Fino Payments Bank Ltd","finopaymentsbank","https://www.linkedin.com/company/finopaymentsbank/","Company","6","https://media.licdn.com/dms/image/sync/D4E27AQFoj8a24fiakw/articleshare-shrink_800/0/1709300621071?e=1710093600&v=beta&t=YxZ2-_TAU3Bm83bJsrpAt6gFOtMkIFrYsWXDQ5WBNNk","false","256","2024-02-02T13:42:31.163Z","1706881351163","Our efforts resulted in significant customer base expansion, crossing the 1 crore CASA customer mark."" said Rishi Gupta, MD & CEO, Fino Payments Bank as the bank announced a net profit of ₹23 crore.
Read the article below to know more.
https://lnkd.in/dMTg58dF

#FinoPaymentsBank #FikarNot #FinoBanker #DigitalBanking #SecureBanking #HarDinFino #FinoPay #quarterlyresults ","1mo","Fino Payments Bank Q3 Results: Firm posts net profit of Rs 23 crore","https://www.linkedin.com/feed/update/urn:li:activity:7159179278708793344?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7159179278708793344%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29","urn:li:activity:7159179278708793344"
"290K","Jana Small Finance Bank","jana-small-financebank","https://www.linkedin.com/company/jana-small-financebank/","Company","5","https://media.licdn.com/dms/image/D4D05AQFyQJknBnlVZQ/videocover-high/0/1688365501980?e=1710093600&v=beta&t=bP8WhBtJI8P1G_RfkrcpZPXU6Q87-NGtkM-aZ_lTAF0","false","206","2023-07-03T06:25:07.438Z","1688365507438","Wishing a blessed Guru Purnima to all the mentors who have shaped lives and empowered dreams.
 
#GuruPurnima #JanaSmallFinanceBank #Guidance #Saving #Banking #Interest ","8mo","Guru Purnima","https://www.linkedin.com/feed/update/urn:li:activity:7081518201309732864?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7081518201309732864%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29","urn:li:activity:7081518201309732864"
"56K","India Post Payments Bank","india-post-paymentsbank","https://www.linkedin.com/company/india-post-paymentsbank/","Company","3","https://media.licdn.com/dms/image/D4D22AQH-jDSEL4nclQ/feedshare-shrink_2048_1536/0/1681378074085?e=1712188800&v=beta&t=o5x3WG4yqzo06YtoVtdZAXOcvAVv5tLP0WdESFfYZiQ","false","16","2023-04-13T09:27:56.001Z","1681378076001","It’s time to step into the world of seamless payments. With India Post Payments Bank Mobile Banking App, experience easy and hassle free bill payments. Download the app today.

Click to download IPPB Mobile Banking App -
https://lnkd.in/dSaM9dy3
https://lnkd.in/gPtGxbk

#Aapkabankaapkedwaar #Bankingatlastmile","11mo",,"https://www.linkedin.com/feed/update/urn:li:activity:7052210789683740674?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7052210789683740674%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29","urn:li:activity:7052210789683740674"
"105K","Fino Payments Bank Ltd","finopaymentsbank","https://www.linkedin.com/company/finopaymentsbank/","Company","5","https://media.licdn.com/dms/image/sync/D4D27AQFZJ6l3mg9KCw/articleshare-shrink_800/0/1708382603263?e=1710093600&v=beta&t=xpGob-BgDC_xsLy0d7_yiM68MYVAtxooL7ntLDjF-Eg","false","265","2023-06-26T11:18:49.003Z","1687778329003","Fino aims to triple deposits to INR 3,500 crore by 2026. Checkout the exclusive interview of Ketan Merchant, CFO, Fino Payments Bank with Moneycontrol, to know how we plan to achieve it!
https://lnkd.in/dnYsDEb4 

#FinoPaymentsBank #FikarNot #FinoBanker #DigitalBanking #SecureBanking #HarDinFino #FinoPay #FinoMerchant","8mo","Interview | Fino plans to almost triple deposits to Rs 3,500 crore by 2026","https://www.linkedin.com/feed/update/urn:li:activity:7079055396451041281?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7079055396451041281%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29","urn:li:activity:7079055396451041281"
