Product,Date,Campaign Name,Target Audience,Message,Creative,Total Request,Sent,Delivered,Read,Failed
DMT,13-12-2023 12:20,dmt_3_hindi,Merchant Base,"*डीएमटी व्यवसाय पर अतिरिक्त कमीशन!* डीएमटी के लिए स्लैब 1 लक्ष्य प्राप्त करें और अतिरिक्त 0.03% कमीशन प्राप्त करें।, डीएमटी के लिए स्लैब 2 लक्ष्य प्राप्त करें और अतिरिक्त 0.04% कमीशन प्राप्त करें। (दिसंबर 2023 ऑफर)",,88,88,62,54,23
DMT,15-12-2023 15:28,dmt_1_2,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.02% Commission, To achieve *Slab 2* Targets & get Additional 0.03% Commission. (December 2023 Offer)",,265,265,181,139,72
DMT,15-12-2023 15:29,dmt_3,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.03% Commission, To achieve *Slab 2* Targets & *get Additional 0.04% Commission. (December 2023 Offer)",,88,88,63,52,23
DMT,15-12-2023 15:29,dmt_3,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.03% Commission, To achieve *Slab 2* Targets & *get Additional 0.04% Commission. (December 2023 Offer)",,88,88,63,52,23
DMT,15-12-2023 15:29,dmt_1_2,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.02% Commission, To achieve *Slab 2* Targets & get Additional 0.03% Commission. (December 2023 Offer)",,87,87,61,48,23
Balance Buildup MAB,15-12-2023 16:09,balance_buildup,Balance Buildup Base,"Maintain Balance of Rs.2000 and above, till 31st December to get a cashback of Rs.25 and a Free BrainGymJr subscription worth ₹ 199. - Fino Payments Bank",,42459,42459,24031,18847,13586
Balance Buildup Debit Card,15-12-2023 16:19,balance_buildup_debit_card,Balance Buildup Base,**₹2 लाख* तक का बीमा कवर और *₹25* का अतिरिक्त कैशबैक पाने के लिए अपने कार्ड को सक्रिय रखें। साथ ही पाइये एक महीने के लिए ₹199 मूल्य का ब्रेन जिम जुनियर सब्सक्रिप्शन। - फिनो पेमेंट्स बैंक,,42470,42470,24028,18630,13590
Rekyc through Vkyc,15-12-2023 16:55,rekyc_braingym_eng,Rekyc Pending Base,"""Dear Customer,
Re-activate your Account with Fino at your convenience.
-> Log in to your account using “FinoPay” Application
-> Click on “Your profile” (Top left corner)
-> Click on “Re-KYC through V-KYC” to complete your KYC at home
And enjoy 1 month FREE “BrainGymJr subscription” worth “Rs.199”""",,82946,82946,26274,18875,49870
Day 1,15-12-2023 17:24,day1,CDP Base,"निर्बाध और सुविधाजनक बैंकिंग का आनंद लेने के लिए फिनोपे ऐप डाउनलोड करें।

-फिनो पेमेंट्स बैंक",,136779,136779,84551,71096,38845
VKYC,16-12-2023 11:49,vkyc_dec,Vkyc Pending Base,,,29278,29278,22237,15872,3386
Christmas Bonanza,16-12-2023 12:22,christmas_bonanza,Merchant Base,"*This December*,

Earn big with Christmas Bonanza by promoting FinoPay.💵
Encourage your customers to maintain their Monthly Average Balance and get commission upto *0.45%*.✨
Refer Merchant Brochure for MAB Scheme.

*T&C Apply

- Fino Payments Bank",,56652,56652,42662,32135,10593
DMT,18-12-2023 12:00,dmt_1_2,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.02% Commission, To achieve *Slab 2* Targets & get Additional 0.03% Commission. (December 2023 Offer)",,265,265,181,134,72
DMT,18-12-2023 12:01,dmt_1_2,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.02% Commission, To achieve *Slab 2* Targets & get Additional 0.03% Commission. (December 2023 Offer)",,87,87,61,48,23
DMT,18-12-2023 12:02,dmt_3,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.03% Commission, To achieve *Slab 2* Targets & *get Additional 0.04% Commission. (December 2023 Offer)",,88,88,64,50,23
Bhavishya*Braingym,18-12-2023 14:37,bhavishya_new_onboarding,Newly Onboarded Base,"पाएं तेज़ दिमाग के साथ सुरक्षित भविष्य!
फिनो की तरफ से अपने BrainGym Jr की फ्री सब्सक्रिप्शन को पाने के लिए इस मैसेज पर क्लिक करें और *FINO90* कोड का उपयोग करें ।",,46150,46150,28992,23667,11559
Bhavishya*Braingym,18-12-2023 14:51,bhavishya_renewal,Renewal Base,"पाएं तेज़ दिमाग के साथ सुरक्षित भविष्य!
फिनो की तरफ से अपने BrainGym Jr की फ्री सब्सक्रिप्शन को पाने के लिए इस मैसेज पर क्लिक करें और *FINO30* कोड का उपयोग करें ।",,23602,23602,13591,10723,7553
Balance Buildup MAB,19-12-2023 13:43,balance_buildup,Balance Buildup Base,"Maintain Balance of Rs.2000 and above, till 31st December to get a cashback of Rs.25 and a Free BrainGymJr subscription worth ₹ 199. - Fino Payments Bank",,42462,42462,24043,17942,13695
Rekyc through Vkyc,19-12-2023 14:06,rekyc_braingym_eng,Rekyc Pending Base,"""Dear Customer,
Re-activate your Account with Fino at your convenience.
-> Log in to your account using “FinoPay” Application
-> Click on “Your profile” (Top left corner)
-> Click on “Re-KYC through V-KYC” to complete your KYC at home
And enjoy 1 month FREE “BrainGymJr subscription” worth “Rs.199”""",,82935,82935,26288,17339,50008
Day 5,19-12-2023 14:24,day_5_dec_2023,CDP Base,"फिनोपे पर यूपीआई सक्रिय करें और निर्बाध रूप से लेनदेन शुरू करें।

-फिनो पेमेंट्स बैंक",,136792,136792,84410,63485,38376
DMT,21-12-2023 11:17,dmt_1_2,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.02% Commission, To achieve *Slab 2* Targets & get Additional 0.03% Commission. (December 2023 Offer)",,265,265,183,126,70
DMT,21-12-2023 11:18,dmt_1_2,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.02% Commission, To achieve *Slab 2* Targets & get Additional 0.03% Commission. (December 2023 Offer)",,87,87,61,44,22
DMT,21-12-2023 11:19,dmt_3,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.03% Commission, To achieve *Slab 2* Targets & *get Additional 0.04% Commission. (December 2023 Offer)",,88,88,63,47,23
DMT,23-12-2023 12:00,dmt_1_2,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.02% Commission, To achieve *Slab 2* Targets & get Additional 0.03% Commission. (December 2023 Offer)",,265,265,177,106,70
DMT,23-12-2023 12:04,dmt_1_2,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.02% Commission, To achieve *Slab 2* Targets & get Additional 0.03% Commission. (December 2023 Offer)",,87,87,62,38,22
