Product,Date,Campaign Name,Target Audience,Message,Creative,Total Request,Sent,Delivered,Read,Failed
DMT,12-01-2024 12:48,dmt_3,Merchant Base,"*डीएमटी व्यवसाय पर अतिरिक्त कमीशन!*

डीएमटी के लिए स्लैब 1 लक्ष्य प्राप्त करें और अतिरिक्त 0.03% कमीशन प्राप्त करें।, डीएमटी के लिए स्लैब 2 लक्ष्य प्राप्त करें और अतिरिक्त 0.04% कमीशन प्राप्त करें। (जनवरी 2024 ऑफर)",,80,80,61,49,17
DMT,15-01-2024 11:58,dmt_1english,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.02% Commission, To achieve *Slab 2* Targets & get Additional 0.03% Commission. (January 2023 Offer)",,275,275,190,152,74
DMT,15-01-2024 12:00,dmt_2english,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.02% Commission, To achieve *Slab 2* Targets & get Additional 0.03% Commission. (January 2023 Offer)",,77,77,51,46,25
DMT,15-01-2024 12:03,dmt_3english,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.03% Commission, To achieve *Slab 2* Targets & *get Additional 0.04% Commission. (January 2023 Offer)",,80,80,61,48,17
DMT,16-01-2024 10:47,dmt_1hindi_followup,Merchant Base,"*डीएमटी व्यवसाय पर अतिरिक्त कमीशन!*

डीएमटी के लिए स्लैब 1 लक्ष्य प्राप्त करें और अतिरिक्त 0.02% कमीशन प्राप्त करें।, डीएमटी के लिए स्लैब 2 लक्ष्य प्राप्त करें और अतिरिक्त 0.03% कमीशन प्राप्त करें। (जनवरी 2024 ऑफर)",,275,275,190,148,74
DMT,16-01-2024 10:49,dmt_2hindi_followup,Merchant Base,"*डीएमटी व्यवसाय पर अतिरिक्त कमीशन!*

डीएमटी के लिए स्लैब 1 लक्ष्य प्राप्त करें और अतिरिक्त 0.02% कमीशन प्राप्त करें।, डीएमटी के लिए स्लैब 2 लक्ष्य प्राप्त करें और अतिरिक्त 0.03% कमीशन प्राप्त करें। (जनवरी 2024 ऑफर)",,77,77,51,46,25
DMT,16-01-2024 10:56,dmt_3hindi_followup,Merchant Base,"*डीएमटी व्यवसाय पर अतिरिक्त कमीशन!*

डीएमटी के लिए स्लैब 1 लक्ष्य प्राप्त करें और अतिरिक्त 0.03% कमीशन प्राप्त करें।, डीएमटी के लिए स्लैब 2 लक्ष्य प्राप्त करें और अतिरिक्त 0.04% कमीशन प्राप्त करें। (जनवरी 2024 ऑफर)",,80,80,61,48,17
FinoPay Funding,16-01-2024 17:27,finopay_funding_eng,Customers who didnt fund their finopay savings account,"Now Fund your FinoPay Savings Account to watch your favourite web series.

1. Get 18 OTTplay channels subscription worth ₹ 1532/- for a month in just *₹ 1/-*. 
2. Complete your Video KYC and get 2 BookMyShow voucher worth Rs.500! 
*For detailed T&C, visit our website.

- Fino Payments Bank",,128114,128114,105822,78345,11203
FinoPay Funding,17-01-2024 15:57,ottplay_funding_hindi,Customers who didnt fund their finopay savings account,"*अब अपनी पसंदीदा वेब सीरीज़ देखने के लिए अपने फिनोपे बचत खाते को फंड करें।*

1. मात्र *₹ 1/-* में एक महीने के लिए ₹ 1532/- मूल्य के 18 OTT चैनलों की सदस्यता प्राप्त करें।
2. अपना वीडियो KYC पूरा करें और 500 रुपये के 2 BookMyShow वाउचर प्राप्त करें!
*विस्तृत नियम एवं शर्तों के लिए, हमारी वेबसाइट पर जाएँ।

- फिनो पेमेंट्स बैंक",,128121,128121,105273,70487,11117
DMT,17-01-2024 18:39,dmt_1english,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.02% Commission, To achieve *Slab 2* Targets & get Additional 0.03% Commission. (January 2023 Offer)",,275,275,189,145,74
DMT,17-01-2024 18:40,dmt_2english,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.02% Commission, To achieve *Slab 2* Targets & get Additional 0.03% Commission. (January 2023 Offer)",,77,77,51,46,25
DMT,17-01-2024 18:44,dmt_3english,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.03% Commission, To achieve *Slab 2* Targets & *get Additional 0.04% Commission. (January 2023 Offer)",,80,80,61,48,17
FinoPay OTT,18-01-2024 14:03,ott_codes_fancode,FinoPay Inactive Customers,"Hi {{1}},

Congratulations on opening an account with Fino. Claim your OTTPlay voucher through this code ( {{2}} ).
Kindly click on *https://bit.ly/3uRcan7* to redeem.
Valid till 6th Feb’24.

-Fino Payments Bank",,5105,5105,3437,3048,756
DMT,18-01-2024 15:38,dmt_1hindi_followup,Merchant Base,"*डीएमटी व्यवसाय पर अतिरिक्त कमीशन!*

डीएमटी के लिए स्लैब 1 लक्ष्य प्राप्त करें और अतिरिक्त 0.02% कमीशन प्राप्त करें।, डीएमटी के लिए स्लैब 2 लक्ष्य प्राप्त करें और अतिरिक्त 0.03% कमीशन प्राप्त करें। (जनवरी 2024 ऑफर)",,275,275,0,0,275
DMT,18-01-2024 15:43,dmt_2hindi_followup,Merchant Base,"*डीएमटी व्यवसाय पर अतिरिक्त कमीशन!*

डीएमटी के लिए स्लैब 1 लक्ष्य प्राप्त करें और अतिरिक्त 0.02% कमीशन प्राप्त करें।, डीएमटी के लिए स्लैब 2 लक्ष्य प्राप्त करें और अतिरिक्त 0.03% कमीशन प्राप्त करें। (जनवरी 2024 ऑफर)",,77,77,51,46,25
DMT,18-01-2024 15:46,dmt_3hindi_followup,Merchant Base,"*डीएमटी व्यवसाय पर अतिरिक्त कमीशन!*

डीएमटी के लिए स्लैब 1 लक्ष्य प्राप्त करें और अतिरिक्त 0.03% कमीशन प्राप्त करें।, डीएमटी के लिए स्लैब 2 लक्ष्य प्राप्त करें और अतिरिक्त 0.04% कमीशन प्राप्त करें। (जनवरी 2024 ऑफर)",,80,80,61,48,17
Annuity Payout,19-01-2024 13:27,annuity_payoutt_hindi,Merchant Base,"*खाता खोलने के साथ और बाद, सदैव साथ।*

• कस्टमर के अकाउंट में अधिकतम बैलेंस रखने पर 
• कस्टमर के खाते रिन्यूअल पर
• कस्टमर के FinoPay ऐप के इस्तेमाल पर।

एन्युटी पेआउट के सम्बंधित जानकारी के लिए नीचे दिए गए बटन पर क्लिक करें।",,56036,56036,43292,32233,9950
Annuity Payout,20-01-2024 10:07,annuity_payout_english,Merchant Base,"*Khaata Kholne ke Saath aur Baad, Sadaiv Saath!*

• If a customer keeps a maximum balance in the account.
• Customer renewing account.
• If a customer uses the FinoPay app.

Please click on the below button to know more about annuity payout.",,56037,56037,42794,28738,10390
DMT,23-01-2024 12:41,dmt_1hindi_english,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.02% Commission, To achieve *Slab 2* Targets & get Additional 0.03% Commission. (January 2023 Offer)",,275,275,188,128,74
DMT,23-01-2024 12:46,dmt_2_english,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.02% Commission, To achieve *Slab 2* Targets & get Additional 0.03% Commission. (January 2023 Offer)",,77,77,51,38,25
DMT,23-01-2024 12:47,dmt_3_english,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.03% Commission, To achieve *Slab 2* Targets & *get Additional 0.04% Commission. (January 2023 Offer)",,80,80,61,44,17
Bhavishya*Braingym,23-01-2024 16:32,bhavishya_renewals,Bhavishya A/C Renewal Base,"पाएं तेज़ दिमाग के साथ सुरक्षित भविष्य!
फिनो की तरफ से अपने BrainGym Jr की फ्री सब्सक्रिप्शन को पाने के लिए इस मैसेज पर क्लिक करें और *FINO30* कोड का उपयोग करें ।",,10119,10119,6093,3940,3004
Bhavishya*Braingym,23-01-2024 16:35,bhavishya_newly_onboarded,Bhavishya A/C Renewal Base,"पाएं तेज़ दिमाग के साथ सुरक्षित भविष्य!
फिनो की तरफ से अपने BrainGym Jr की फ्री सब्सक्रिप्शन को पाने के लिए इस मैसेज पर क्लिक करें और *FINO90* कोड का उपयोग करें ।",,35994,35994,0,0,35994
Day 1 (FinoPay),23-01-2024 16:41,day_1,CDP Base (Ones who do not have CASA),"स्मार्ट बैंकिंग वर्ल्ड में आपका स्वागत है!
निर्बाध और सुविधाजनक बैंकिंग का आनंद लेने के लिए फिनोपे ऐप डाउनलोड करें।

-फिनो पेमेंट्स बैंक
",,189108,189108,115756,87854,55489
DMT,24-01-2024 11:38,dmt_1hindi_followup,Merchant Base,"*डीएमटी व्यवसाय पर अतिरिक्त कमीशन!*

डीएमटी के लिए स्लैब 1 लक्ष्य प्राप्त करें और अतिरिक्त 0.02% कमीशन प्राप्त करें।, डीएमटी के लिए स्लैब 2 लक्ष्य प्राप्त करें और अतिरिक्त 0.03% कमीशन प्राप्त करें। (जनवरी 2024 ऑफर)",,275,275,187,110,74
DMT,24-01-2024 11:43,dmt_2_hindi_followup,Merchant Base,"*डीएमटी व्यवसाय पर अतिरिक्त कमीशन!*

डीएमटी के लिए स्लैब 1 लक्ष्य प्राप्त करें और अतिरिक्त 0.02% कमीशन प्राप्त करें।, डीएमटी के लिए स्लैब 2 लक्ष्य प्राप्त करें और अतिरिक्त 0.03% कमीशन प्राप्त करें। (जनवरी 2024 ऑफर)",,77,77,50,32,25
DMT,24-01-2024 11:45,dmt_3_hindi_followup,Merchant Base,"*डीएमटी व्यवसाय पर अतिरिक्त कमीशन!*

डीएमटी के लिए स्लैब 1 लक्ष्य प्राप्त करें और अतिरिक्त 0.03% कमीशन प्राप्त करें।, डीएमटी के लिए स्लैब 2 लक्ष्य प्राप्त करें और अतिरिक्त 0.04% कमीशन प्राप्त करें। (जनवरी 2024 ऑफर)",,80,80,61,41,17
Day 2 (SA  ROI 7.5%),24-01-2024 11:51,day_2_followup,CDP Base (Ones who do not have CASA),"फिनो के साथ अपनी बचत बढ़ाएँ!
अब अपने बचत खाते की शेष राशि पर 7.5% तक का अधिक ब्याज दर प्राप्त करें।

-फिनो पेमेंट्स बैंक",,189117,189117,114201,71729,55469
FinoPay OTT,25-01-2024 15:13,ott_finopay_unconverted_leads_eng,Unconverted Base (Ones who do not have FinoPay),"Watch your favorite web series through OTT platforms with FinoPay!

Open and Fund your FinoPay Savings Account to watch unlimited content from popular OTT apps like Sony LIV, ZEE5, ShemarooMe + 15 more.

1. Get 18 OTTplay channels subscription worth ₹ 1532 for a month in just ₹ 1/-.
2. Complete your Video KYC and get 2 BookMyShow voucher worth ₹ 500!

*For detailed T&C, visit https://www.finobank.com/notice-board

- Fino Payments Bank",,13269,13269,8677,3970,1526
DMT,25-01-2024 16:32,dmt_1english,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.02% Commission, To achieve *Slab 2* Targets & get Additional 0.03% Commission. (January 2023 Offer)",,275,275,179,50,73
DMT,25-01-2024 16:36,dmt_2_english,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.02% Commission, To achieve *Slab 2* Targets & get Additional 0.03% Commission. (January 2023 Offer)",,77,77,47,14,25
DMT,25-01-2024 16:42,dmt_3_english,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.03% Commission, To achieve *Slab 2* Targets & *get Additional 0.04% Commission. (January 2023 Offer)",,80,80,58,23,17
