SI number,Product,Campaign Owner,Platform ,Date,Campaign name,Target Audience,Budget Spent,Installs,CPC/CPI
1,FinoPay,Neha Yadav,Meta ,7th Nov - 17th Nov,FinoPay Install Campaign,Already targetted (Remarketing),18196,887,20.51
2,FinoPay,Neha Yadav,Meta ,7th Nov - 17th Nov,FinoPay Install Campaign,PAN India (lookalike of Fino's customer base),"15,322",759,20.19
3,FinoPay,Neha Yadav,Meta ,2nd Nov - 23rd Nov,FinoPay Install Campaign,PAN India & Retargeted audience - Oct month,36143,"2,680",13.49
4,FinoPay,Neha Yadav,Meta ,24th Nov,FinoPay Install Campaign,PAN India and Retargeted audience (Oct-Nov),41506,3826,10.85
5,FinoPay,Neha Yadav,Meta ,24th Nov ,FinoPay Install Campaign,PAN India,,,
6,FinoPay,Neha Yadav,Meta ,18 OCT - 7th Nov,FinoPay Install Campaign,Hindi Belt,14733,,0.75
7,FinoPay,Neha Yadav,Meta ,15th Dec - 10 Jan,FinoPay Install Campaign,PAN India,52000,,
